radeg,"raerr("")",decdeg,"decerr("")",Johnson_V,Verr,Johnson_B,Berr,R(deg)
299.235864,0.362,-1.208262,0.147,8.634,0.014,9.939,0.127,0.194
299.164421,0.51,-1.098525,0.121,10.122,0.107,10.705,0.048,0.080
299.233458,0.501,-0.955927,0.085,10.364,0.086,11.794,0.044,0.081
299.07643,0.37,-0.94525,0.208,11.194,0.089,12.372,0.039,0.133
299.206894,0.375,-1.126769,0.14,11.438,0.099,12.119,0.056,0.108
299.199018,0.497,-1.08914,0.111,11.444,0.096,13.211,0.054,0.069
299.172559,0.539,-1.213148,0.245,12.156,0.089,12.724,0.024,0.192
299.347536,0.429,-1.231549,0.604,12.297,0.128,14.019,0.05,0.265
299.134648,0.142,-0.96025,0.084,12.332,0.091,13.644,0.042,0.080
299.216709,0.32,-1.017877,0.137,13.194,0.099,13.815,0.058,0.031
299.223853,0.279,-0.941202,0.237,13.79,0.08,14.58,0.054,0.089
298.986162,0.495,-0.78459,0.394,14.107,0.088,15.361,0.03,0.310
299.186903,0.315,-1.045935,0.287,15.158,0.117,16.316,0.077,0.025
